size,sruntime,pruntime,speedup
49,144215,2867116,0.050
64,61064,669474,0.091
81,54938,639206,0.086
100,72169,530601,0.14
121,119086,552200,0.22
144,124418,959409,0.13
169,174674,709061,0.25
196,169327,835377,0.20
256,263416,2268947,0.12
324,369422,1613751,0.23
400,506332,3777058,0.13
484,685952,1144905,0.60
625,995644,1536888,0.65
784,960912,6838907,0.14
1024,655036,3160744,0.21
1296,724164,7480478,0.097
1681,1042180,10373401,0.10
2116,1449963,7784838,0.19
2704,2164583,2381188,0.91
3481,1482272,2613416,0.57
4489,713510,591455,1.2
5776,954902,614063,1.6
7396,1338459,1001381,1.3
9604,2451693,927255,2.6
12544,2312836,2497448,0.93
16384,3639953,2336110,1.6
21316,5054284,4768248,1.1
27556,7398463,6194398,1.2
35721,12303735,6356995,1.9
