size,sruntime,pruntime,speedup
49,134519,1825607,0.074
64,44271,157387,0.28
81,55107,87458,0.63
100,82383,128230,0.64
121,114448,143585,0.80
144,124769,146800,0.85
169,151860,192584,0.79
196,169709,201402,0.84
256,259682,194238,1.3
324,369437,220070,1.7
400,564141,291728,1.9
484,649405,499892,1.3
625,983261,630038,1.6
784,869132,905303,0.96
1024,600023,1225014,0.49
1296,738871,2132893,0.35
1681,1043551,5694250,0.18
2116,1443179,8418693,0.17
2704,2073500,10884237,0.19
3481,1053874,3429562,0.31
4489,695334,747083,0.93
5776,954913,1073534,0.89
7396,1317329,533279,2.5
9604,1567125,1125385,1.4
12544,2323959,2764143,0.84
16384,3660087,3435316,1.1
21316,5054950,5391512,0.94
27556,7401444,6598664,1.1
35721,11742276,11536928,1.0
