size,sruntime,pruntime,speedup
49,166059,22819898,0.0073
64,44529,484091,0.092
81,54847,757794,0.072
100,69284,373389,0.19
121,123476,530310,0.23
144,124339,908375,0.14
169,159860,500861,0.32
196,162732,652370,0.25
256,260850,370120,0.70
324,373876,516994,0.72
400,483985,722780,0.67
484,650022,1925570,0.34
625,975778,4066027,0.24
784,909994,4937554,0.18
1024,561771,6883036,0.082
1296,717106,2730368,0.26
1681,1042793,4300928,0.24
2116,1449847,6381611,0.23
2704,2083018,5338968,0.39
3481,1033369,4758973,0.22
4489,686438,3052783,0.22
5776,927621,1107353,0.84
7396,1323926,1340786,0.99
9604,1761690,1428668,1.2
12544,2306478,1474442,1.6
16384,3596243,1958715,1.8
21316,4911856,3696081,1.3
27556,7331084,5657387,1.3
35721,11235646,8340086,1.3
