size,sruntime,pruntime,speedup
49,174831,3190154,0.055
64,54099,626873,0.086
81,253028,443137,0.57
100,82961,483584,0.17
121,123631,1119780,0.11
144,147660,924196,0.16
169,155716,796120,0.20
196,168753,625187,0.27
256,251422,3441656,0.073
324,393778,1994909,0.20
400,495929,1126403,0.44
484,640203,4868752,0.13
625,956255,1172326,0.82
784,935747,1457550,0.64
1024,563519,1614937,0.35
1296,744745,9976177,0.075
1681,1044659,7479868,0.14
2116,1440003,9746424,0.15
2704,2098797,7803731,0.27
3481,1033501,2740742,0.38
4489,689871,1195969,0.58
5776,928273,1300736,0.71
7396,1286546,2699662,0.48
9604,1551844,1208984,1.3
12544,2300718,3892038,0.59
16384,3577402,2789047,1.3
21316,5064961,3220551,1.6
27556,9263343,6360435,1.5
35721,11658959,4616294,2.5
