size,sruntime,pruntime,speedup
49,165112,2644628,0.062
64,53555,436385,0.12
81,97514,676844,0.14
100,71495,732833,0.098
121,114633,554267,0.21
144,320034,423628,0.76
169,358673,830053,0.43
196,171769,715303,0.24
256,255457,2249306,0.11
324,401881,1437629,0.28
400,504036,1444512,0.35
484,654777,2178314,0.30
625,1003112,1520699,0.66
784,916872,1354235,0.68
1024,578940,10603489,0.055
1296,718437,2836067,0.25
1681,1043713,3931249,0.27
2116,1442966,7205247,0.20
2704,2076516,11040694,0.19
3481,1038385,768180,1.4
4489,681541,583586,1.2
5776,930872,650540,1.4
7396,1317238,786489,1.7
9604,1551371,1077667,1.4
12544,2296483,1397023,1.6
16384,3569381,3743855,0.95
21316,4930379,6435258,0.77
27556,8582272,9103704,0.94
35721,11752011,8382679,1.4
