size,sruntime,pruntime,speedup
49,157123,2803503,0.056
64,103408,620666,0.17
81,294717,792576,0.37
100,72483,770510,0.094
121,147171,877922,0.17
144,202610,324250,0.62
169,213234,894472,0.24
196,169346,480666,0.35
256,404992,363747,1.1
324,471378,332251,1.4
400,483039,379051,1.3
484,642070,922387,0.70
625,1011375,1146922,0.88
784,1269175,1799288,0.71
1024,746753,2338256,0.32
1296,913166,6130611,0.15
1681,1259037,6731613,0.19
2116,1441244,8786050,0.16
2704,2074909,11011818,0.19
3481,2349052,3270148,0.72
4489,674597,1788974,0.38
5776,935129,1696442,0.55
7396,1416507,848966,1.7
9604,1785456,875193,2.0
12544,2564243,4908687,0.52
16384,3950116,2883959,1.4
21316,10775886,3478102,3.1
27556,8061936,12032113,0.67
35721,13005457,7890414,1.6
